longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rank,property_id,address,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,status_text,broker_name,input,property_url,listing_url
-117.73,33.51,5.0,4549.0,786.0,1238.0,632.0,6.1785,295900.0,<1H OCEAN,53,25771912,"44 Marseille, Laguna Niguel, CA 92677",1699900,USD,4.0,2.0,2338 sqft,,1753700.0,5361.0,60,,False,https://photos.zillowstatic.com/fp/b7d8db194755ce3d028dc9d2daed7f24-p_e.jpg,FOR SALE,Condo for sale,Compass,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/44-Marseille-Laguna-Niguel-CA-92677/25771912_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.68,33.51,19.0,2930.0,428.0,1481.0,430.0,6.323,480800.0,<1H OCEAN,34,25677916,"19 Caribbean Ct #218, Laguna Niguel, CA 92677",829000,USD,2.0,3.0,1220 sqft,,842700.0,2387.0,23,,False,https://photos.zillowstatic.com/fp/0a5d5ed5e92e714aac1f387e7942040f-p_e.jpg,FOR SALE,Condo for sale,Bullock Russell RE Services,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/19-Caribbean-Ct-218-Laguna-Niguel-CA-92677/25677916_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.68,33.51,4.0,2428.0,401.0,959.0,386.0,6.2661,268500.0,<1H OCEAN,34,25677916,"19 Caribbean Ct #218, Laguna Niguel, CA 92677",829000,USD,2.0,3.0,1220 sqft,,842700.0,2387.0,23,,False,https://photos.zillowstatic.com/fp/0a5d5ed5e92e714aac1f387e7942040f-p_e.jpg,FOR SALE,Condo for sale,Bullock Russell RE Services,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/19-Caribbean-Ct-218-Laguna-Niguel-CA-92677/25677916_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.68,33.55,5.0,2262.0,427.0,1016.0,402.0,6.065,315500.0,<1H OCEAN,13,25554086,"28112 Bedford Dr, Laguna Niguel, CA 92677",1650000,USD,3.0,4.0,2057 sqft,,1681900.0,5072.0,10,,False,https://photos.zillowstatic.com/fp/fc16f068cb5464f273981c2f8b0875a0-p_e.jpg,FOR SALE,House for sale,"HomeSmart, Evergreen Realty","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/28112-Bedford-Dr-Laguna-Niguel-CA-92677/25554086_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.68,33.54,5.0,2840.0,403.0,1363.0,403.0,7.618,341400.0,<1H OCEAN,56,25760730,"29107 Via Cerrito #38, Laguna Niguel, CA 92677",529000,USD,1.0,2.0,958 sqft,,516300.0,1627.0,61,,False,https://photos.zillowstatic.com/fp/fa8045c7e8cbddbcee467b84230f5850-p_e.jpg,FOR SALE,Condo for sale,Nest Seekers,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29107-Via-Cerrito-38-Laguna-Niguel-CA-92677/25760730_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.68,33.52,5.0,3621.0,632.0,1546.0,567.0,5.753,322800.0,<1H OCEAN,30,25677790,"8 Coral Rdg #109, Laguna Niguel, CA 92677",765000,USD,2.0,2.0,1120 sqft,,764400.0,3249.0,25,,False,https://photos.zillowstatic.com/fp/2d9e9794c0b020519c9bba5042468b30-p_e.jpg,FOR SALE,Condo for sale,Pacific Sotheby's International Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/8-Coral-Rdg-109-Laguna-Niguel-CA-92677/25677790_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.69,33.54,20.0,1767.0,280.0,801.0,284.0,6.5394,272000.0,<1H OCEAN,27,25552767,"28956 Aloma Ave, Laguna Niguel, CA 92677",1500000,USD,2.0,3.0,1462 sqft,,1507500.0,4400.0,39,,False,https://photos.zillowstatic.com/fp/a2e3900a2aea0c60a7eb9e471de4a18e-p_e.jpg,FOR SALE,House for sale,The Cayman Group,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/28956-Aloma-Ave-Laguna-Niguel-CA-92677/25552767_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.69,33.53,17.0,5041.0,778.0,2396.0,801.0,6.0868,282900.0,<1H OCEAN,4,25553123,"25041 Via Portola, Laguna Niguel, CA 92677",1599900,USD,2.0,4.0,1642 sqft,,1618700.0,4723.0,15,,False,https://photos.zillowstatic.com/fp/673141811eda09195d1fb1b32ce93d8a-p_e.jpg,FOR SALE,House for sale,"Sal Nesh, Broker","https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/25041-Via-Portola-Laguna-Niguel-CA-92677/25553123_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.69,33.53,17.0,5041.0,778.0,2396.0,801.0,6.0868,282900.0,<1H OCEAN,3,25553313,"25391 Via Piedra Blanca, Laguna Niguel, CA 92677",1850000,USD,2.0,3.0,2213 sqft,,1869200.0,5500.0,2,,False,https://photos.zillowstatic.com/fp/07a6d73ebecfa29d92a8c2cac32430c0-p_e.jpg,FOR SALE,House for sale,Compass,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/25391-Via-Piedra-Blanca-Laguna-Niguel-CA-92677/25553313_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.51,2.0,5261.0,763.0,1460.0,599.0,6.8279,279000.0,<1H OCEAN,26,25567920,"1 Siena, Laguna Niguel, CA 92677",1615000,USD,3.0,3.0,1869 sqft,,1622100.0,5438.0,27,,False,https://photos.zillowstatic.com/fp/8d99b63f1ec0095e4459c05923e14554-p_e.jpg,FOR SALE,House for sale,Surterre Properties,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/1-Siena-Laguna-Niguel-CA-92677/25567920_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.52,17.0,2486.0,417.0,876.0,361.0,6.1007,340900.0,<1H OCEAN,36,25575839,"30491 Puerto Vallarta Dr, Laguna Niguel, CA 92677",3178000,USD,3.0,4.0,3409 sqft,,3026600.0,7146.0,158,,False,https://photos.zillowstatic.com/fp/87ff57abc41fa46a54bf9cf22353fc97-p_e.jpg,FOR SALE,House for sale,Bullock Russell RE Services,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/30491-Puerto-Vallarta-Dr-Laguna-Niguel-CA-92677/25575839_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.51,11.0,2198.0,252.0,883.0,281.0,13.1477,487000.0,<1H OCEAN,10,25576347,"10 Fairmont, Laguna Niguel, CA 92677",2925000,USD,3.0,4.0,3348 sqft,,2976700.0,6999.0,3,,False,https://photos.zillowstatic.com/fp/de1662cdf8efec8478bb4c88f585f1a2-p_e.jpg,FOR SALE,House for sale,Berkshire Hathaway Home Services,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/10-Fairmont-Laguna-Niguel-CA-92677/25576347_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.51,12.0,4676.0,698.0,1543.0,598.0,6.379,500001.0,<1H OCEAN,10,25576347,"10 Fairmont, Laguna Niguel, CA 92677",2925000,USD,3.0,4.0,3348 sqft,,2976700.0,6999.0,3,,False,https://photos.zillowstatic.com/fp/de1662cdf8efec8478bb4c88f585f1a2-p_e.jpg,FOR SALE,House for sale,Berkshire Hathaway Home Services,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/10-Fairmont-Laguna-Niguel-CA-92677/25576347_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.54,4.0,4956.0,693.0,1802.0,625.0,7.9338,354700.0,<1H OCEAN,19,25569574,"24762 Queens Ct, Laguna Niguel, CA 92677",2575000,USD,4.0,4.0,4075 sqft,,2601900.0,11994.0,12,,False,https://photos.zillowstatic.com/fp/28daaf7547927cfa4ef52bef3b250d93-p_e.jpg,FOR SALE,House for sale,Surterre Properties Inc.,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24762-Queens-Ct-Laguna-Niguel-CA-92677/25569574_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.54,4.0,4956.0,693.0,1802.0,625.0,7.9338,354700.0,<1H OCEAN,24,25569558,"24692 Kings Rd, Laguna Niguel, CA 92677",1895000,USD,4.0,4.0,4071 sqft,,,11000.0,6,,False,https://photos.zillowstatic.com/fp/c2df074cc4a86b223808b69e43e18969-p_e.jpg,FOR SALE,House for sale,Berkshire Hathaway HomeServices California Properties,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24692-Kings-Rd-Laguna-Niguel-CA-92677/25569558_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.55,12.0,2459.0,390.0,1054.0,391.0,7.1736,262100.0,<1H OCEAN,6,25570673,"24875 Via Susana, Laguna Niguel, CA 92677",1198800,USD,3.0,3.0,1266 sqft,,1213900.0,3900.0,15,,False,https://photos.zillowstatic.com/fp/921cc976a03db344db33cca6893112f1-p_e.jpg,FOR SALE,House for sale,Coldwell Banker Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24875-Via-Susana-Laguna-Niguel-CA-92677/25570673_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.57,4.0,3283.0,911.0,1512.0,782.0,3.3125,138500.0,<1H OCEAN,33,25754328,"27230 Ryan Dr, Laguna Niguel, CA 92677",498000,USD,1.0,1.0,750 sqft,,,1493.0,9,,False,https://photos.zillowstatic.com/fp/84319afbea479222706684e3cc345603-p_e.jpg,FOR SALE,Condo for sale,RE/MAX New Dimension,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/27230-Ryan-Dr-Laguna-Niguel-CA-92677/25754328_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.57,4.0,3283.0,911.0,1512.0,782.0,3.3125,138500.0,<1H OCEAN,57,25754405,"27277 Nicole Dr, Laguna Niguel, CA 92677",488888,USD,1.0,1.0,750 sqft,,525300.0,1455.0,14,,False,https://photos.zillowstatic.com/fp/d531548015a954bc4a315c11662d24d2-p_e.jpg,FOR SALE,Condo for sale,Coldwell Banker Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/27277-Nicole-Dr-Laguna-Niguel-CA-92677/25754405_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.7,33.57,9.0,1204.0,355.0,469.0,293.0,3.6196,119900.0,<1H OCEAN,33,25754328,"27230 Ryan Dr, Laguna Niguel, CA 92677",498000,USD,1.0,1.0,750 sqft,,,1493.0,9,,False,https://photos.zillowstatic.com/fp/84319afbea479222706684e3cc345603-p_e.jpg,FOR SALE,Condo for sale,RE/MAX New Dimension,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/27230-Ryan-Dr-Laguna-Niguel-CA-92677/25754328_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.7,33.57,9.0,1204.0,355.0,469.0,293.0,3.6196,119900.0,<1H OCEAN,57,25754405,"27277 Nicole Dr, Laguna Niguel, CA 92677",488888,USD,1.0,1.0,750 sqft,,525300.0,1455.0,14,,False,https://photos.zillowstatic.com/fp/d531548015a954bc4a315c11662d24d2-p_e.jpg,FOR SALE,Condo for sale,Coldwell Banker Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/27277-Nicole-Dr-Laguna-Niguel-CA-92677/25754405_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.71,33.54,7.0,4907.0,577.0,1883.0,556.0,10.4415,453800.0,<1H OCEAN,12,25568859,"29152 Bobolink Dr, Laguna Niguel, CA 92677",1450000,USD,3.0,4.0,3098 sqft,,1483700.0,6950.0,11,,False,https://photos.zillowstatic.com/fp/1444aecf850b03d5207c94f5e9c8fccc-p_e.jpg,FOR SALE,House for sale,Lightning Real Estate,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29152-Bobolink-Dr-Laguna-Niguel-CA-92677/25568859_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.54,7.0,4907.0,577.0,1883.0,556.0,10.4415,453800.0,<1H OCEAN,1,25568872,"23992 Plover Ln, Laguna Niguel, CA 92677",1900000,USD,3.0,4.0,3336 sqft,,1931600.0,6950.0,3,,False,https://photos.zillowstatic.com/fp/91d9ddb892ca12331eab216aa98e1756-p_e.jpg,FOR SALE,House for sale,Coldwell Banker Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/23992-Plover-Ln-Laguna-Niguel-CA-92677/25568872_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.54,15.0,2460.0,368.0,962.0,320.0,7.3878,318300.0,<1H OCEAN,12,25568859,"29152 Bobolink Dr, Laguna Niguel, CA 92677",1450000,USD,3.0,4.0,3098 sqft,,1483700.0,6950.0,11,,False,https://photos.zillowstatic.com/fp/1444aecf850b03d5207c94f5e9c8fccc-p_e.jpg,FOR SALE,House for sale,Lightning Real Estate,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/29152-Bobolink-Dr-Laguna-Niguel-CA-92677/25568859_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.54,15.0,2460.0,368.0,962.0,320.0,7.3878,318300.0,<1H OCEAN,1,25568872,"23992 Plover Ln, Laguna Niguel, CA 92677",1900000,USD,3.0,4.0,3336 sqft,,1931600.0,6950.0,3,,False,https://photos.zillowstatic.com/fp/91d9ddb892ca12331eab216aa98e1756-p_e.jpg,FOR SALE,House for sale,Coldwell Banker Realty,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/23992-Plover-Ln-Laguna-Niguel-CA-92677/25568872_zpid/,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/"
-117.71,33.57,4.0,3289.0,753.0,1285.0,651.0,4.045,226000.0,<1H OCEAN,47,25754067,"24363 El Pilar #130, Laguna Niguel, CA 92677",525000,USD,1.0,2.0,888 sqft,,538000.0,1649.0,17,,False,https://photos.zillowstatic.com/fp/19ce5c260ff13067024921b6353bad8b-p_e.jpg,FOR SALE,Condo for sale,Redfin,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24363-El-Pilar-130-Laguna-Niguel-CA-92677/25754067_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.71,33.57,6.0,3673.0,881.0,1846.0,768.0,4.877,144300.0,<1H OCEAN,47,25754067,"24363 El Pilar #130, Laguna Niguel, CA 92677",525000,USD,1.0,2.0,888 sqft,,538000.0,1649.0,17,,False,https://photos.zillowstatic.com/fp/19ce5c260ff13067024921b6353bad8b-p_e.jpg,FOR SALE,Condo for sale,Redfin,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24363-El-Pilar-130-Laguna-Niguel-CA-92677/25754067_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.71,33.49,5.0,1680.0,254.0,617.0,231.0,8.583,397700.0,<1H OCEAN,45,25582216,"24002 Caravel Pl, Laguna Niguel, CA 92677",2399990,USD,3.0,4.0,2614 sqft,,,7821.0,36,,False,https://photos.zillowstatic.com/fp/d6db4d534e5c4f6c15bfad64cd524399-p_e.jpg,FOR SALE,House for sale,Mcsen Realty Corp.,"https://www.zillow.com/homes/Laguna-Niguel,-CA_rb/",https://www.zillow.com/homedetails/24002-Caravel-Pl-Laguna-Niguel-CA-92677/25582216_zpid/,https://www.zillow.com/laguna-niguel-ca/2_p/
-117.76,33.71,14.0,4321.0,582.0,2025.0,578.0,8.3634,355100.0,<1H OCEAN,11,25518776,"10 Lakepines, Irvine, CA 92620",649500,USD,1.0,2.0,934 sqft,,,2996.0,6,,False,https://photos.zillowstatic.com/fp/fd1d2e498e25837c05244a948bddeb5a-p_e.jpg,FOR SALE,Townhouse for sale,"KASE Real Estate, Inc.","https://www.zillow.com/homes/Irvine,-CA_rb/",https://www.zillow.com/homedetails/10-Lakepines-Irvine-CA-92620/25518776_zpid/,"https://www.zillow.com/homes/Irvine,-CA_rb/"
-117.76,33.71,14.0,4321.0,582.0,2025.0,578.0,8.3634,355100.0,<1H OCEAN,111,64875939,"5200 Irvine Blvd SPACE 292, Irvine, CA 92620",550000,USD,2.0,2.0,1440 sqft,,563900.0,1631.0,17,,False,https://photos.zillowstatic.com/fp/c14a85ec4840bbb7075fc17ea44bf515-p_e.jpg,FOR SALE,Home for sale,Groves Home Sales,"https://www.zillow.com/homes/Irvine,-CA_rb/",https://www.zillow.com/homedetails/5200-Irvine-Blvd-SPACE-292-Irvine-CA-92620/64875939_zpid/,https://www.zillow.com/irvine-ca/3_p/
-117.76,33.71,14.0,4321.0,582.0,2025.0,578.0,8.3634,355100.0,<1H OCEAN,61,25521692,"22 Bennington, Irvine, CA 92620",2250000,USD,3.0,4.0,2200 sqft,,2315200.0,4800.0,4,,False,https://photos.zillowstatic.com/fp/85cfef17301b64f96fcd2773e8c087a1-p_e.jpg,FOR SALE,House for sale,Hanu Reddy Realty,"https://www.zillow.com/homes/Irvine,-CA_rb/",https://www.zillow.com/homedetails/22-Bennington-Irvine-CA-92620/25521692_zpid/,https://www.zillow.com/irvine-ca/2_p/
-117.76,33.71,15.0,1010.0,350.0,470.0,342.0,3.2229,108300.0,<1H OCEAN,11,25518776,"10 Lakepines, Irvine, CA 92620",649500,USD,1.0,2.0,934 sqft,,,2996.0,6,,False,https://photos.zillowstatic.com/fp/fd1d2e498e25837c05244a948bddeb5a-p_e.jpg,FOR SALE,Townhouse for sale,"KASE Real Estate, Inc.","https://www.zillow.com/homes/Irvine,-CA_rb/",https://www.zillow.com/homedetails/10-Lakepines-Irvine-CA-92620/25518776_zpid/,"https://www.zillow.com/homes/Irvine,-CA_rb/"
-117.76,33.71,15.0,1010.0,350.0,470.0,342.0,3.2229,108300.0,<1H OCEAN,111,64875939,"5200 Irvine Blvd SPACE 292, Irvine, CA 92620",550000,USD,2.0,2.0,1440 sqft,,563900.0,1631.0,17,,False,https://photos.zillowstatic.com/fp/c14a85ec4840bbb7075fc17ea44bf515-p_e.jpg,FOR SALE,Home for sale,Groves Home Sales,"https://www.zillow.com/homes/Irvine,-CA_rb/",https://www.zillow.com/homedetails/5200-Irvine-Blvd-SPACE-292-Irvine-CA-92620/64875939_zpid/,https://www.zillow.com/irvine-ca/3_p/
